表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  20-24岁,    841,    45,    36,    8,    1,-,-,    77,    53,    22,    2,-,-
    20,    184,    2,    2,-,-,-,-,    2,    2,-,-,-,-
    21,    174,        1,    1,-,-,-,-,    11,    11,-,-,-,-
    22,    193,    13,    11,    2,-,-,-,    20,    12,    8,-,-,-
    23,    125,    10,    9,    1,-,-,-,    16,    13,    3,-,-,-
    24,    165,    19,    13,    5,    1,-,-,    28,    15,    11,    2,-,-
  25-29岁,    581,    60,    20,    31,    7,    2,-,    60,    21,    21,    16,    2,-
    25,    148,    20,    8,    10,    2,-,-,    22,    8,    9,    5,-,-
    26,    145,    13,    4,    6,    2,    1,-,    21,    9,    7,    4,    1,-
    27,    137,    8,    2,    5,    1,-,-,    12,    3,    3,    6,-,-
    28,    109,    16,    4,    9,    2,    1,-,    3,    1,    2,-,-,-
    29,    42,    3,    2,    1,-,-,-,    2,-,-,    1,    1,-
  30-34岁,    307,    7,-,    2,    1,    3,    1,    6,-,    1,    2,    2,    1
    30,    43,    3,-,    2,    1,-,-,    1,-,    1,-,-,-
    31,    55,    1,-,-,-,    1,-,    1,-,-,-,-,    1
    32,    66,2,-,-,-,    2,-,    1,-,-,-,    1,-
    33,    70,    1,-,-,-,-,    1,    2,-,-,   2,-,-
    34,    73,-,-,-,-,-,-,    1,-,-,-,    1,-
  35-39岁,    389,    6,-,    3,    3,-,-,    2,-,-,-,-,    2
    35,    116,    3,-,    2,    1,-,-,    2,-,-,-,-,    2
    36,    69,-,-,-,-,-,-,-,-,-,-,-,-
    37,    83,    1,-,    1,-,-,-,-,-,-,-,-,-
    38,    50,    2,-,-,    2,-,-,-,-,-,-,-,-
    39,    71,-,-,-,-,-,-,-,-,-,-,-,-
  40-44岁,    279,-,-,-,-,-,-,-,-,-,-,-,-
    40,    63,-,-,-,-,-,-,-,-,-,-,-,-
    41,    75,-,-,-,-,-,-,-,-,-,-,-,-
    42,    43,-,-,-,-,-,-,-,-,-,-,-,-
    43,    51,-,-,-,-,-,-,-,-,-,-,-,-
    44,    47,-,-,-,-,-,-,-,-,-,-,-,-
  45-49岁,    234,    1,-,-,-,-,    1,-,-,-,-,-,-
    45,        54,-,-,-,-,-,-,-,-,-,-,-,-
    46,    48,    1,-,-,-,-,    1,-,-,-,-,-,-
    47,    53,-,-,-,-,-,-,-,-,-,-,-,-
    48,    37,-,-,-,-,-,-,-,-,-,-,-,-
    49,    42,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    55,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
京族,    5 142,    223,    108,    79,    29,    4,    3,    248,    95,    118,    27,    4,    4
  15-19岁,    957,    7,    6,    1,-,-,-,    14,    13,-,        1,-,-
    15,    174,-,-,-,-,-,-,-,-,-,-,-,-
    16,    170,-,-,-,-,-,-,-,-,-,-,-,-
    17,    205,-,-,-,-,-,-,    1,    1,-,-,-,-
    18,    186,    2,    1,    1,-,-,-,    6,    6,-,-,-,-
    19,    222,    5,    5,-,-,-,-,    7,    6,-,    1,-,-
  20-24岁,    1 000,    107,    67,    34,    5,    1,-,    116,    65,    46,    5,-,-
    20,    196,    12,    9,        3,-,-,-,    13,    9,    4,-,-,-
    21,    220,    21,    19,    2,-,-,-,    33,    23,    10,-,-,-
    22,    193,    30,    20,    9,    1,-,-,    24,    14,    10,-,-,-
    23,    183,    19,    11,    8,-,-,-,    17,    9,    7,    1,-,-
    24,    208,    25,    8,    12,    4,    1,-,    29,    10,    15,    4,-,-
  25-29岁,    851,    86,    32,    34,    17,    3,-,    80,    15,    50,    14,    1,-
    25,    204,    23,    8,    11,    4,-,-,    21,    3,    13,    4,    1,-
    26,    196,    25,    11,    11,    3,-,-,    12,    4,    7,    1,-,-
    27,    217,    22,    7,    8,    6,    1,-,    25,    7,    13,    5,-,-
    28,    146,    8,    2,    2,    3,    1,-,    11,-,    9,    2,-,-
    29,    88,    8,    4,    2,    1,    1,-,    11,    1,    8,    2,-,-
  30-34岁,    622,    12,    1,    5,    5,-,    1,    32,    2,    20,    5,    2,    3
    30,    84,    3,-,    1,    1,-,    1,    6,-,    5,    1,-,-
    31,    132,    2,    1,-,    1,-,-,    9,    1,    7,    1,-,-
    32,    137,    3,-,    3,-,-,-,    8,-,    4,    3,    1,-
    33,    124,    1,-,    1,-,-,-,    4,    1,    2,-,-,    1
    34,    145,    3,-,-,    3,-,-,    5,-,    2,-,    1,    2
  35-39岁,    648,    7,    2,    3,    2,-,-,    6,-,    2,    2,    1,    1
    35,    136,    2,    1,-,    1,-,-,    1,-,-,    1,-,-
    36,    124,    2,-,    2,-,-,-,    5,-,    2,    1,    1,    1
    37,    141,    1,-,-,    1,-,-,-,-,-,-,-,-
    38,    122,    1,-,    1,-,-,-,-,-,-,-,-,-
    39,    125,    1,    1,-,-,-,-,-,-,-,-,-,-
  40-44岁,    528,    4,-,    2,-,-,    2,-,-,-,-,-,-
    40,    121,-,-,-,-,-,-,-,-,-,-,-,-
    41,    109,    2,-,    1,-,-,    1,-,-,-,-,-,-
    42,    116,    1,-,    1,-,-,-,-,-,-,-,-,-
    43,    106,    1,-,-,-,-,    1,-,-,-,-,-,-
    44,    76,-,-,-,-,-,-,-,-,-,-,-,-
  45-49岁,    437,-,-,-,-,-,-,-,-,-,-,-,-
    45,    93,-,-,-,-,-,-,-,-,-,-,-,-
    46,    90,-,-,-,-,-,-,-,-,-,-,-,-
    47,    93,-,-,-,-,-,-,-,-,-,-,-,-
    48,    86,-,-,-,-,-,-,-,-,-,-,-,-
    49,    75,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    99,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
塔塔尔族,    1 237,    50,    10,    7,    8,    8,    17,    52,    21,    10,    6,    3,    12
  15-19岁,    343,-,-,-,-,-,-,-,-,-,-,-,-
    15,    62,-,-,-,-,-,-,-,-,-,-,-,-
    16,    77,-,-,-,-,-,-,-,-,-,-,-,-
    17,    65,-,-,-,-,-,-,-,-,-,-,-,-
    18,    77,-,-,-,-,-,-,-,-,-,-,-,-
    19,    62,-,-,-,-,-,-,-,-,-,-,-,-
  20-24岁,    274,    8,    5,    3,-,-,-,    9,    5,    2,    2,-,-
    20,    63,    1,-,    1,-,-,-,-,-,-,-,-,-
    21,    59,    1,    1,-,-,-,-,-,-,-,-,-,-
    22,    60,-,-,-,-,-,-,-,-,-,-,-,-
    23,    43,    2,    1,    1,-,-,-,    2,        2,-,-,-,-
    24,    49,    4,    3,    1,-,-,-,    7,    3,    2,    2,-,-
  25-29岁,    172,    19,    4,    3,    6,    4,    2,    17,    12,    4,-,    1,-
    25,    45,    7,    2,    2,    2,    1,-,    4,    2,    2,-,-,-
    26,    35,    2,    2,-,-,-,-,    5,    4,    1,-,-,-
    27,    36,-,-,-,-,-,-,    6,    6,-,-,-,-
    28,    26,    5,-,    1,    3,-,    1,    2,-,    1,-,    1,-
    29,    30,    5,-,-,    1,    3,    1,-,-,-,-,-,-
  30-34岁,    150,    14,    1,    1,    2,    2,    8,    18,    3,    3,    4,    1,    7
    30,    25,    2,-,-,    1,-,    1,    4,   1,    1,    1,-,    1
    31,    39,    5,    1,-,    1,-,    3,    4,-,-,-,-,    4
    32,    30,    1,-,-,-,-,    1,    3,    1,-,    1,-,    1
    33,    37,    5,-,    1,-,    2,    2,    4,    1,    2,-,    1,-
    34,    19,    1,-,-,-,-,    1,    3,-,-,    2,-,    1
  35-39岁,    99,    8,-,-,-,    2,    6,    3,    1,-,-,-,    2
    35,    17,    1,-,-,-,    1,-,    1,    1,-,-,-,-
    36,    27,    3,-,-,-,-,    3,    1,-,-,-,-,    1
    37,    22,    1,-,-,-,-,    1,-,-,-,-,-,-
    38,    19,    2,-,-,-,-,    2,-,-,-,-,-,-
    39,    14,    1,-,-,-,    1,-,    1,-,-,-,-,    1
  40-44岁,    82,    1,-,-,-,-,    1,    5,-,    1,-,    1,    3
    40,    15,-,-,-,-,-,-,    1,-,    1,-,-,-
    41,    26,-,-,-,-,-,-,    3,-,-,-,    1,    2
    42,    10,-,-,-,-,-,-,-,-,-,-,-,-
    43,    13,    1,-,-,-,-,    1,-,-,-,-,-,-
    44,    18,-,-,-,-,-,-,    1,-,-,-,-,    1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表3--29全国各民族有生育的妇女按年龄和孩次分的出生人口数(1989．1．1．--1990．6．30．)(续56),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,五孩以上
  45-49岁,    103,-,-,-,-,-,-,-,-,-,-,-,-
    45,    14,-,-,-,-,-,-,-,-,-,-,-,-
    46,    27,-,-,-,-,-,-,-,-,-,-,-,-
    47,    21,-,-,-,-,-,-,-,-,-,-,-,-
    48,    14,-,-,-,-,-,-,-,-,-,-,-,-
    49,    27,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    14,-,-,-,-,-,-,-,-,-,-,-,-
独龙族,    1 467,    140,    43,    28,    23,    14,    32,    111,    31,    26,    15,    18,    21
  15-19岁,    256,    3,    2,    1,-,-,-,    4,    2,    2,-,-,-
    15,    44,-,-,-,-,-,-,-,-,-,-,-,-
    16,    62,-,-,-,-,-,-,-,-,-,-,-,-
    17,    44,    1,    1,-,-,-,-,-,-,-,-,-,-
    18,    56,    1,-,    1,-,-,-,-,-,-,-,-,-
    19,    50,    1,    1,-,-,-,-,    4,    2,    2,-,-,-
  20-24岁,    339,    47,    28,    16,    3,-,-,    42,    25,    9,    6,    2,-
    20,    74,    4,    4,-,-,-,-,    12,    9,    1,    2,-,-
    21,    56,    6,    5,    1,-,-,-,    7,    6,    1,-,-,-
    22,    58,    8,    5,    3,-,-,-,    9,    6,    2,    1,-,-
    23,    76,    15,    8,    5,    2,-,-,    9,    2,    4,    2,    1,-
    24,    75,    14,    6,    7,    1,-,-,        5,    2,    1,    1,    1,-
  25-29岁,    256,    42,    10,    8,    16,    7,    1,    36,    3,    11,    7,    12,    3
    25,    50,    10,    5,    3,    2,-,-,    8,    1,    4,    1,    2,-
    26,    60,    9,    3,    1,    4,    1,-,    11,    2,    1,    5,    2,    1
    27,    46,    7,    1,    1,    3,    1,    1,    5,-,    2,-,    3,-
    28,    71,    10,    1,-,    5,    4,-,    11,-,    3,    1,    5,    2
    29,    29,    6,-,    3,    2,    1,-,    1,-,    1,-,-,-
  30-34岁,    185,    21,    3,    3,    1,    3,    11,    16,    1,    3,    2,    4,    6
    30,    50,    4,    1,-,    1,    1,    1,    6,-,    2,    1,    3,-
    31,    30,    5,    1,    1,-,    1,    2,    3,    1,-,-,-,    2
    32,    46,    6,    1,    1,-,    1,    3,    5,-,    1,    1,    1,    2
    33,    34,    2,-,    1,-,-,    1,    1,-,-,-,-,    1
    34,    25,    4,-,-,-,-,    4,    1,-,-,-,-,    1
  35-39岁,    135,    16,-,-,    3,    3,    10,    7,-,    1,-,-,    6
    35,    41,    7,-,-,    2,    1,    4,    2,-,-,-,-,    2
    36,    21,    2,-,-,-,    1,    1,    2,-,    1,-,-,    1
    37,    20,    2,-,-,-,-,    2,    1,-,-,-,-,    1
    38,    27,    4,-,-,    1,    1,    2,    1,-,-,-,-,    1
    39,    26,    1,-,-,-,-,    1,    1,-,-,-,-,    1
  40-44岁,    142,    8,-,-,-,    1,    7,    5,-,-,-,-,    5
    40,    42,    3,-,-,-,-,    3,    1,-,-,-,-,    1
    41,    29,    3,-,-,-,    1,    2,    1,-,-,-,-,    1
    42,    22,    1,-,-,-,-,    1,    1,-,-,-,-,    1
    43,    18,    1,-,-,-,-,    1,-,-,-,-,-,-
    44,    31,-,-,-,-,-,-,    2,-,-,-,-,    2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  45-49岁,    105,    2,-,-,-,-,    2,    1,-,-,-,-,    1
    45,    28,    2,-,-,-,-,    2,    1,-,-,-,-,    1
    46,    19,-,-,-,-,-,-,-,-,-,-,-,-
    47,    17,-,-,-,-,-,-,-,-,-,-,-,-
    48,    26,-,-,-,-,-,-,-,-,-,-,-,-
    49,    15,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    49,    1,-,-,-,-,    1,-,-,-,-,-,-
鄂伦春族,    1 977,    90,    39,    33,    11,    5,    2,    86,    41,      30,    12,    1,    2
  15-19岁,    433,    2,    1,    1,-,-,-,    4,    4,-,-,-,-
    15,    88,-,-,-,-,-,-,-,-,-,-,-,-
    16,    102,-,-,-,-,-,-,-,-,-,-,-,-
    17,    84,-,-,-,-,-,-,    1,        1,-,-,-,-
    18,    84,-,-,-,-,-,-,    2,    2,-,-,-,-
    19,    75,    2,    1,    1,-,-,-,    1,    1,-,-,-,-
  20-24岁,    446,    43,    28,    15,-,-,-,    42,    28,    12,    2,-,-
    20,    93,    3,    3,-,-,-,-,    2,    2,-,-,-,-
    21,    103,    9,    5,    4,-,-,-,    11,    9,    2,-,-,-
    22,    79,    11,    9,    2,-,-,-,    10,        7,    3,-,-,-
    23,    72,    11,    4,    7,-,-,-,    11,    6,    4,    1,-,-
    24,    99,    9,    7,    2,-,-,-,    8,    4,    3,    1,-,-
  25-29岁,    416,    31,    10,    10,    8,    3,-,    25,    9,    11,    5,-,-
    25,    86,    6,    2,    3,-,    1,-,    6,    5,    1,-,-,-
    26,    112,    11,    3,    2,    4,    2,-,    11,    1,    7,    3,-,-
    27,    104,    6,    1,    3,    2,-,-,    4,    1,    3,-,-,-
    28,    65,    4,    3,-,    1,-,-,    3,    1,-,    2,-,-
    29,    49,    4,    1,    2,    1,-,-,    1,    1,-,-,-,-
  30-34岁,    263,    11,-,    6,    2,    2,    1,    13,-,    7,    4,    1,    1
    30,    51,    3,-,    2,-,    1,-,    3,-,    3,-,-,-
    31,    52,    1,-,-,    1,-,-,    2,-,    1,    1,-,-
    32,    54,    2,-,    1,-,    1,-,-,-,-,-,-,-
    33,    60,    3,-,    2,    1,-,-,    3,-,    2,    1,-,-
    34,    46,    2,-,    1,-,-,    1,    5,-,    1,    2,    1,    1
  35-39岁,    176,    3,-,    1,    1,-,    1,    1,-,-,    1,-,-
    35,    31,-,-,-,-,-,-,-,-,-,-,-,-
    36,    32,    2,-,-,    1,-,    1,    1,-,-,    1,-,-
    37,    37,-,-,-,-,-,-,-,-,-,-,-,-
    38,    34,-,-,-,-,-,-,-,-,-,-,-,-
    39,    42,    1,-,    1,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,        1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  40-44岁,    125,-,-,-,-,-,-,    1,-,-,-,-,    1
    40,    39,-,-,-,-,-,-,-,-,-,-,-,-
    41,    30,-,-,-,-,-,-,    1,-,-,-,-,    1
    42,    24,-,-,-,-,-,-,-,-,-,-,-,-
    43,    11,-,-,-,-,-,-,-,-,-,-,-,-
    44,    21,-,-,-,-,-,-,-,-,-,-,-,-
  45-49岁,    101,-,-,-,-,-,-,-,-,-,-,-,-
    45,      31,-,-,-,-,-,-,-,-,-,-,-,-
    46,    21,-,-,-,-,-,-,-,-,-,-,-,-
    47,    9,-,-,-,-,-,-,-,-,-,-,-,-
    48,    19,-,-,-,-,-,-,-,-,-,-,-,-
    49,    21,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    17,-,-,-,-,-,-,-,-,-,-,-,-
赫哲族,    1 114,    52,    30,    19,    2,    1,-,    48,    24,    21,    3,-,-
  15-19岁,    231,    2,    2,-,-,-,-,    3,    3,-,-,-,-
    15,    37,-,-,-,-,-,-,-,-,-,-,-,-
    16,    49,-,-,-,-,-,-,-,-,-,-,-,-
    17,    49,-,-,-,-,-,-,-,-,-,-,-,-
    18,    48,    1,    1,-,-,-,-,-,-,-,-,-,-
    19,    48,    1,    1,-,-,-,-,    3,    3,-,-,-,-
  20-24岁,    228,    21,    14,    7,-,-,-,    19,    13,    6,-,-,-
    20,    48,    2,        2,-,-,-,-,    1,    1,-,-,-,-
    21,    44,    1,    1,-,-,-,-,    2,    2,-,-,-,-
    22,    44,    5,    1,    4,-,-,-,    3,    3,-,-,-,-
    23,    51,    10,    8,    2,-,-,-,    11,    7,    4,-,-,-
    24,    41,    3,    2,    1,-,-,-,    2,-,    2,-,-,-
  25-29岁,    237,    21,    13,    5,    2,    1,-,    13,    7,    4,    2,-,-
    25,    55,    8,    6,    2,-,-,-,    3,    1,    2,-,-,-
    26,    52,    3,    1,    2,-,-,-,    1,-,-,    1,-,-
    27,    59,    5,    4,-,    1,-,-,    5,    4,-,    1,-,-
    28,    43,    1,    1,-,-,-,-,    4,    2,    2,-,-,-
    29,    28,    4,    1,    1,    1,    1,-,-,-,-,-,-,-
  30-34岁,    151,    6,    1,    5,-,-,-,    10,    1,    9,-,-,-
    30,    30,    1,-,    1,-,-,-,    4,    1,    3,-,-,-
    31,    33,    2,-,    2,-,-,-,    2,-,    2,-,-,-
    32,    39,    2,    1,    1,-,-,-,    4,-,    4,-,-,-
    33,    29,    1,-,    1,-,-,-,-,-,-,-,-,-
    34,    20,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    143,    2,-,    2,-,-,-,    3,-,    2,    1,-,-
    35,    33,    1,-,    1,-,-,-,    1,-,    1,-,-,-
    36,    29,-,-,-,-,-,-,-,-,-,-,-,-
    37,    24,-,-,-,-,-,-,-,-,-,-,-,-
    38,    39,    1,-,    1,-,-,-,-,-,-,-,-,-
    39,    18,-,-,-,-,-,-,2,-,    1,    1,-,-
  40-44岁,    66,-,-,-,-,-,-,-,-,-,-,-,-
    40,    15,-,-,-,-,-,-,-,-,-,-,-,-
    41,    13,-,-,-,-,-,-,-,-,-,-,-,-
    42,    12,-,-,-,-,-,-,-,-,-,-,-,-
    43,    14,-,-,-,-,-,-,-,-,-,-,-,-
    44,    12,-,-,-,-,-,-,-,-,-,-,-,-
  45-49岁,    47,-,-,-,-,-,-,-,-,-,-,-,-
    45,    10,-,-,-,-,-,-,-,-,-,-,-,-
    46,    5,-,-,-,-,-,-,-,-,-,-,-,-
    47,    8,-,-,-,-,-,-,-,-,-,-,-,-
    48,    16,-,-,-,-,-,-,-,-,-,-,-,-
    49,    8,-,-,-,-,-,-,-,-,-,-,-,-
  50岁,    11,-,-,-,-,-,-,-,-,-,-,-,-
门巴族,    1 751,    108,    21,    25,    19,    14,    29,    117,    28,    21,    22,    12,    34
  15-19岁,    353,    4,    4,-,-,-,-,    10,    8,    1,    1,-,-
    15,    67,-,-,-,-,-,-,-,-,-,-,-,-
    16,    70,-,-,-,-,-,-,-,-,-,-,-,-
    17,    73,    1,    1,-,-,-,-,    1,    1,-,-,-,-
    18,    80,    2,    2,-,-,-,-,    2,    2,-,-,-,-
    19,    63,    1,    1,-,-,-,-,    7,    5,    1,    1,-,-
  20-24岁,    311,    27,    12,    10,    4,    1,-,    32,    16,    9,    4,    1,    2
    20,    69,-,-,-,-,-,-,    6,2,    3,    1,-,-
    21,    56,    5,    2,2,    1,-,-,    7,    7,-,-,-,-
    22,    72,    7,    4,    3,-,-,-,    7,    5,    2,-,-,-
    23,    59,    7,    4,    2,    1,-,-,    4,    2,    2,-,-,-
    24,    55,    8,    2,    3,    2,    1,-,    8,-,    2,    3,    1,    2
  25-29岁,    324,    35,    4,    10,    9,    8,    4,    42,    4,    8,    16,    5,    9
    25,    80,    10,    2,    7,-,    1,-,    9,    1,    3,    3,    1,    1
    26,    56,    6,-,    2,    2,    1,    1,    4,-,    2,    1,    1,-
    27,    66,    7,    2,    1,    2,    1,    1,      15,    1,    1,    7,    2,    4
    28,    71,    8,-,-,    3,    4,    1,    8,    2,    1,    2,    1,    2
    29,    51,    4,-,-,    2,    1,    1,    6,-,    1,    3,-,    2
  30-34岁,    264,    29,    1,    5,    5,    4,    14,    19,-,    2,    1,    4,    12
    30,    75,    6,-,    1,-,    2,    3,    5,-,    1,-,    2,    2
    31,    62,    9,-,    2,    2,-,    5,    5,-,    1,-,-,    4
    32,    48,    8,    1,-,-,    2,    5,    2,-,-,-,    1,    1
    33,    47,    4,-,    2,    1,-,    1,    5,-,-,    1,-,    4
    34,    32,    2,-,-,    2,-,-,    2,-,-,-,    1,    1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30口,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    149,    8,-,-,    1,    1,    6,    11,-,    1,-,    1,    9
    35,    31,    2,-,-,-,-,    2,    3,-,    1,-,-,    2
    36,    36,    1,-,-,-,    1,-,    3,-,-,-,    1,    2
    37,    30,    3,-,-,    1,-,    2,    3,-,-,-,-,    3
    38,    26,-,-,-,-,-,-,    1,-,-,-,-,    1
    39,    26,    2,-,-,-,-,    2,    1,-,-,-,-,    1
  40-44岁,    132,    2,-,-,-,-,    2,    1,-,-,-,-,    1
    40,    35,-,-,-,-,-,-,-,-,-,-,-,-
    41,    25,    1,-,-,-,-,    1,-,-,-,-,-,-
    42,    24,-,-,-,-,-,-,-,-,-,-,-,-
    43,    26,    1,-,-,-,-,    1,    1,-,-,-,-,    1
    44,    22,-,-,-,-,-,-,-,-,-,-,-,-
  45-49岁,    182,    3,-,-,-,-,    3,    2,-,-,-,    1,    1
    45,    31,    3,-,-,-,-,    3,    1,-,-,-,-,    1
    46,    35,-,-,-,-,-,-,-,-,-,-,-,-
    47,    39,-,-,-,-,-,-,-,-,-,-,-,-
    48,    41,-,-,-,-,-,-,-,-,-,-,-,-
    49,    36,-,-,-,-,-,-,    1,-,-,-,    1,-
  50岁,    36,-,-,-,-,-,-,-,-,-,-,-,-
珞巴族,    606,    36,    14,    10,    4,    3,    5,    37,    13,    7,    9,    1,    7
  15-19岁,    129,    1,    1,-,-,-,-,    1,    1,-,-,-,-
    15,    26,-,-,-,-,-,-,-,-,-,-,-,-
    16,    22,-,-,-,-,-,-,-,-,-,-,-,-
    17,    24,-,-,-,-,-,-,-,-,-,-,-,-
    18,    30,-,-,-,-,-,-,    1,    1,-,-,-,-
    19,    27,    1,    1,-,-,-,-,-,-,-,-,-,-
  20-24岁,    120,    13,    8,    5,-,-,-,    18,    11,    2,    5,-,-
    20,    34,    3,    3,-,-,-,-,    6,    5,-,    1,-,-
    21,    26,    3,    1,    2,-,-,-,      4,    1,    1,    2,-,-
    22,    21,    2,    1,    1,-,-,-,    1,    1,-,-,-,-
    23,    18,    3,    1,    2,-,-,-,    3,    1,    1,    1,-,-
    24,    21,    2,    2,-,-,-,-,    4,    3,-,    1,-,-
  25-29岁,    93,    12,    5,    3,    3,    1,-,    10,-,    5,    2,    1,   2
    25,    26,    2,    1,    1,-,-,-,    3,-,    1,    1,-,    1
    26,    21,    4,    3,-,    1,-,-,    1,-,-,-,-,    1
    27,    21,    5,-,    2,    2,    1,-,    3,-,    2,    1,-,-
    28,    9,-,-,-,-,-,-,    2,-,    1,-,    1,-
    29,    16,    1,    1,-,-,-,-,    1,-,    1,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表3--29全国各民族有生育的妇女按年龄和孩次分的出生人口数(1989．1．1．--1990．6．30．)(续61),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
